epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1742,1.62643,1.6856,1.66138,0.4334,0.42824,0.42798,0.20728,2.01241,2.02411,2.05014,0.003614,0.003614,0.003614
44,1768.7,1.59288,1.62511,1.63355,0.44713,0.4026,0.41364,0.18864,2.16088,1.99849,2.14645,0.003581,0.003581,0.003581
45,1795.49,1.51166,1.61311,1.60913,0.40797,0.42772,0.42069,0.1946,2.11409,1.98052,2.13148,0.003548,0.003548,0.003548
46,1822.94,1.5719,1.61677,1.64186,0.49176,0.41661,0.44096,0.19857,2.10761,2.04032,2.1503,0.003515,0.003515,0.003515
47,1849.61,1.54401,1.6277,1.62987,0.70898,0.40347,0.47377,0.20908,2.08544,1.98363,2.13487,0.003482,0.003482,0.003482
48,1876.15,1.56652,1.67626,1.64985,0.53898,0.43955,0.48513,0.19942,2.23237,2.01125,2.24984,0.003449,0.003449,0.003449
49,1902.82,1.51938,1.57855,1.60164,0.46312,0.47493,0.44102,0.19129,2.22077,2.0503,2.24204,0.003416,0.003416,0.003416
50,1929.51,1.54572,1.61719,1.60513,0.51321,0.44591,0.44666,0.21329,2.0905,2.10866,2.1501,0.003383,0.003383,0.003383
51,1956.76,1.57151,1.58,1.6043,0.5577,0.44962,0.47564,0.22026,2.04014,2.03082,2.09439,0.00335,0.00335,0.00335
52,1984.01,1.53308,1.56761,1.57761,0.52859,0.35507,0.42421,0.19149,2.11997,1.98604,2.1228,0.003317,0.003317,0.003317
53,2010.69,1.60149,1.67166,1.62714,0.45402,0.42792,0.44007,0.20243,2.05926,2.02801,2.06981,0.003284,0.003284,0.003284
54,2038.86,1.46316,1.52131,1.55185,0.53906,0.40883,0.4609,0.23187,1.97415,1.95876,2.01239,0.003251,0.003251,0.003251
55,2065.66,1.50724,1.56365,1.5737,0.54003,0.44581,0.48689,0.22733,2.01445,1.95553,2.03896,0.003218,0.003218,0.003218
56,2094.16,1.55479,1.61955,1.61852,0.66104,0.45715,0.48374,0.22541,2.06429,1.88191,2.05716,0.003185,0.003185,0.003185
57,2122.11,1.48317,1.49887,1.56374,0.71295,0.44022,0.51847,0.23614,2.01848,1.83251,2.02431,0.003152,0.003152,0.003152
58,2148.9,1.48196,1.54383,1.55941,0.60311,0.47583,0.50274,0.24268,1.98819,1.86319,2.00038,0.003119,0.003119,0.003119
59,2175.75,1.46279,1.50008,1.54585,0.66475,0.43394,0.50816,0.24407,1.9628,1.8722,1.98562,0.003086,0.003086,0.003086
60,2208.52,1.5838,1.63255,1.6451,0.54364,0.44287,0.46303,0.2274,2.03387,1.99211,2.05347,0.003053,0.003053,0.003053
61,2241.22,1.51773,1.58062,1.57683,0.54924,0.45803,0.45394,0.20784,2.06893,1.9839,2.09051,0.00302,0.00302,0.00302
62,2268.75,1.45085,1.68369,1.56817,0.62543,0.37521,0.4598,0.21672,2.03167,1.88106,2.06044,0.002987,0.002987,0.002987
63,2295.79,1.47494,1.56727,1.56514,0.60539,0.38266,0.43576,0.21053,2.04032,1.89805,2.07437,0.002954,0.002954,0.002954
64,2322.76,1.55315,1.60206,1.58495,0.56455,0.41672,0.44351,0.1952,2.06148,1.86123,2.08283,0.002921,0.002921,0.002921
65,2349.76,1.53455,1.56771,1.56952,0.58007,0.42172,0.46154,0.21394,2.06931,1.85924,2.0675,0.002888,0.002888,0.002888
66,2376.89,1.41534,1.45917,1.49602,0.49362,0.48455,0.46141,0.23564,2.05544,1.82834,2.06054,0.002855,0.002855,0.002855
67,2403.92,1.44095,1.53095,1.55312,0.74751,0.45225,0.48666,0.23965,2.01957,1.80513,2.02302,0.002822,0.002822,0.002822
68,2431.39,1.45825,1.52275,1.5664,0.55684,0.52195,0.48277,0.22667,2.03957,1.89806,2.05382,0.002789,0.002789,0.002789
69,2458.78,1.4499,1.5039,1.54895,0.46761,0.51057,0.47562,0.22882,2.06753,1.89422,2.0904,0.002756,0.002756,0.002756
70,2486.7,1.42977,1.43791,1.52179,0.53714,0.40582,0.43695,0.21024,2.12581,1.93861,2.1661,0.002723,0.002723,0.002723
71,2514.58,1.42139,1.48828,1.52044,0.52156,0.35831,0.38821,0.18092,2.28119,2.16613,2.33496,0.00269,0.00269,0.00269
72,2541.75,1.4509,1.52125,1.5445,0.50834,0.44144,0.42555,0.21532,2.14763,2.10229,2.18889,0.002657,0.002657,0.002657
73,2568.48,1.42915,1.48291,1.51403,0.78629,0.36304,0.42846,0.22175,2.04366,2.10801,2.09509,0.002624,0.002624,0.002624
74,2595.73,1.40915,1.44768,1.48875,0.63937,0.45372,0.45608,0.24164,2.02311,1.98652,2.06493,0.002591,0.002591,0.002591
75,2622.17,1.36458,1.36198,1.45551,0.83598,0.41128,0.4854,0.2399,1.98545,1.93901,2.0124,0.002558,0.002558,0.002558
76,2648.74,1.36137,1.37635,1.46164,0.53127,0.45728,0.46977,0.21942,2.05095,1.87337,2.10707,0.002525,0.002525,0.002525
77,2675.45,1.33535,1.34226,1.45218,0.61719,0.42393,0.47266,0.21042,2.09813,1.89529,2.14167,0.002492,0.002492,0.002492
78,2702.56,1.3565,1.37728,1.48082,0.58382,0.45739,0.47116,0.21266,2.08923,1.94588,2.16895,0.002459,0.002459,0.002459
79,2729.89,1.38101,1.36465,1.48763,0.59316,0.47784,0.48615,0.22482,2.08038,1.89237,2.20788,0.002426,0.002426,0.002426
80,2759.36,1.42571,1.41405,1.51889,0.54921,0.47306,0.48816,0.21221,2.08305,1.85664,2.2098,0.002393,0.002393,0.002393
81,2785.86,1.37187,1.40236,1.46769,0.58356,0.45027,0.48399,0.21677,2.0853,1.8669,2.17276,0.00236,0.00236,0.00236
82,2812.46,1.34572,1.33972,1.4467,0.60336,0.45008,0.46798,0.20704,2.09243,1.93107,2.13417,0.002327,0.002327,0.002327
83,2839.25,1.35693,1.34045,1.46594,0.55814,0.47874,0.44849,0.19946,2.10183,2.00825,2.12572,0.002294,0.002294,0.002294
84,2865.9,1.34154,1.3623,1.4569,0.59874,0.47276,0.47047,0.21191,2.09175,1.93482,2.10276,0.002261,0.002261,0.002261
85,2892.74,1.42715,1.5219,1.51979,0.61823,0.45839,0.50393,0.21809,2.1068,1.89859,2.09891,0.002228,0.002228,0.002228
86,2919.57,1.37527,1.40958,1.46317,0.59618,0.46929,0.50594,0.21567,2.1035,1.89471,2.12132,0.002195,0.002195,0.002195
87,2946.05,1.38092,1.36142,1.46405,0.56825,0.44916,0.49454,0.22596,2.06768,1.91897,2.12071,0.002162,0.002162,0.002162
88,2972.66,1.30993,1.25823,1.41184,0.47649,0.51605,0.47028,0.21712,2.13717,1.97297,2.21517,0.002129,0.002129,0.002129
89,2999.53,1.33322,1.33168,1.4288,0.50654,0.44519,0.46551,0.22012,2.15363,1.94576,2.24385,0.002096,0.002096,0.002096
