epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2236.84,1.79054,2.14165,1.79119,0.43274,0.2689,0.24181,0.08455,2.49239,2.93811,2.55724,0.005842,0.005842,0.005842
44,2271.01,1.80683,2.0693,1.79481,0.21004,0.46615,0.27815,0.10787,2.2928,2.7046,2.31099,0.005743,0.005743,0.005743
45,2305.04,1.77636,2.06336,1.77925,0.37464,0.32015,0.26922,0.12953,2.37309,2.84649,2.40121,0.005644,0.005644,0.005644
46,2339.31,1.74953,2.11374,1.77358,0.6565,0.23241,0.26906,0.12217,2.47018,2.80485,2.53539,0.005545,0.005545,0.005545
47,2373.32,1.74417,2.01869,1.7655,0.42267,0.33074,0.29244,0.12231,2.38434,2.73812,2.48731,0.005446,0.005446,0.005446
48,2407.63,1.72183,1.98451,1.75407,0.40495,0.32111,0.29879,0.13525,2.34905,2.49225,2.36232,0.005347,0.005347,0.005347
49,2441.5,1.75364,2.02601,1.77043,0.30726,0.35021,0.32072,0.15978,2.31034,2.71664,2.31438,0.005248,0.005248,0.005248
50,2475.85,1.71423,2.04249,1.76595,0.29577,0.33926,0.26525,0.12659,2.30981,2.79417,2.34869,0.005149,0.005149,0.005149
51,2509.7,1.68192,1.92141,1.71624,0.31377,0.25791,0.24165,0.12139,2.3578,2.62341,2.4111,0.00505,0.00505,0.00505
52,2544.08,1.73548,1.91406,1.73995,0.59112,0.29458,0.28464,0.13649,2.35684,2.38848,2.41438,0.004951,0.004951,0.004951
53,2578.49,1.69495,1.92287,1.69469,0.30549,0.33207,0.2695,0.11533,2.29397,2.34602,2.31139,0.004852,0.004852,0.004852
54,2612.94,1.69184,1.89017,1.69996,0.49186,0.2282,0.29005,0.12384,2.28372,2.32284,2.25101,0.004753,0.004753,0.004753
55,2646.97,1.69322,1.88323,1.71431,0.30322,0.4146,0.35181,0.14847,2.28173,2.30918,2.21799,0.004654,0.004654,0.004654
56,2680.89,1.6696,1.83852,1.69189,0.49172,0.33036,0.3942,0.18406,2.2768,2.22973,2.28749,0.004555,0.004555,0.004555
57,2715.34,1.65779,1.84603,1.69039,0.64665,0.29773,0.37515,0.18179,2.28087,2.2867,2.32028,0.004456,0.004456,0.004456
58,2749.47,1.66406,1.85426,1.65872,0.66229,0.24315,0.32335,0.16762,2.31439,2.2738,2.33812,0.004357,0.004357,0.004357
59,2783.77,1.64307,1.81599,1.68024,0.63065,0.28065,0.31494,0.13357,2.35884,2.39631,2.33552,0.004258,0.004258,0.004258
60,2817.71,1.71047,1.92276,1.70987,0.66545,0.2557,0.30677,0.13552,2.40401,2.34521,2.3977,0.004159,0.004159,0.004159
61,2851.93,1.64622,1.8652,1.67421,0.64187,0.31271,0.31173,0.13983,2.41355,2.36736,2.45526,0.00406,0.00406,0.00406
62,2885.94,1.64682,1.82159,1.69269,0.37547,0.37219,0.28655,0.11474,2.44361,2.52197,2.41328,0.003961,0.003961,0.003961
63,2919.93,1.61524,1.86209,1.65729,0.21734,0.37177,0.26053,0.11885,2.44596,2.34035,2.3869,0.003862,0.003862,0.003862
64,2953.9,1.68946,1.87519,1.69951,0.35069,0.32822,0.32558,0.1597,2.30876,2.31447,2.30778,0.003763,0.003763,0.003763
65,2988.02,1.63977,1.70207,1.66276,0.35848,0.46999,0.37392,0.17634,2.34049,2.31115,2.31163,0.003664,0.003664,0.003664
66,3022.19,1.66199,1.83095,1.68667,0.4193,0.49778,0.42611,0.19673,2.33479,2.25726,2.35293,0.003565,0.003565,0.003565
67,3056.19,1.61942,1.7643,1.64801,0.40709,0.40759,0.39981,0.20188,2.33385,2.22524,2.34991,0.003466,0.003466,0.003466
68,3090.43,1.59976,1.7408,1.66026,0.39251,0.45813,0.41204,0.19148,2.28256,2.19515,2.32184,0.003367,0.003367,0.003367
69,3124.29,1.60032,1.75006,1.68452,0.47631,0.36454,0.33773,0.15482,2.26424,2.22963,2.30231,0.003268,0.003268,0.003268
70,3158.48,1.61251,1.68027,1.6316,0.55488,0.30404,0.32787,0.1486,2.30798,2.20636,2.28968,0.003169,0.003169,0.003169
71,3192.46,1.48737,1.64516,1.5567,0.53345,0.27575,0.35824,0.17966,2.30521,2.22909,2.28872,0.00307,0.00307,0.00307
72,3226.65,1.54119,1.6574,1.58674,0.48812,0.30805,0.39597,0.19875,2.32331,2.2647,2.35697,0.002971,0.002971,0.002971
73,3260.8,1.5599,1.69641,1.62428,0.62817,0.25568,0.42725,0.22135,2.33067,2.24128,2.38094,0.002872,0.002872,0.002872
74,3295.01,1.55908,1.69741,1.59974,0.53195,0.28167,0.39977,0.20394,2.37937,2.14771,2.39848,0.002773,0.002773,0.002773
75,3328.91,1.54138,1.62668,1.61147,0.59441,0.33218,0.48801,0.2357,2.39751,2.11669,2.4163,0.002674,0.002674,0.002674
76,3363.21,1.50921,1.64686,1.57435,0.43048,0.5032,0.47357,0.23793,2.32304,2.08285,2.36851,0.002575,0.002575,0.002575
77,3397.41,1.47983,1.56388,1.53433,0.48749,0.42369,0.46451,0.24937,2.33595,2.16417,2.38357,0.002476,0.002476,0.002476
78,3431.74,1.54292,1.66868,1.60668,0.46209,0.42615,0.44772,0.23579,2.27227,2.17303,2.30837,0.002377,0.002377,0.002377
79,3465.62,1.55931,1.62278,1.59571,0.41091,0.49758,0.44664,0.23494,2.24628,2.13405,2.25405,0.002278,0.002278,0.002278
80,3499.88,1.53359,1.63479,1.57694,0.39552,0.5081,0.46846,0.24222,2.29625,2.07521,2.3309,0.002179,0.002179,0.002179
81,3534,1.50283,1.57101,1.5782,0.41576,0.54036,0.48968,0.25677,2.28272,2.06096,2.32003,0.00208,0.00208,0.00208
82,3568.07,1.49877,1.5902,1.56479,0.42764,0.57984,0.5401,0.27475,2.25256,1.98378,2.30973,0.001981,0.001981,0.001981
83,3602.23,1.44665,1.48634,1.53176,0.54827,0.50799,0.52938,0.28043,2.28873,2.05275,2.3272,0.001882,0.001882,0.001882
84,3636.35,1.44619,1.50288,1.52321,0.55392,0.44769,0.47354,0.24045,2.29957,2.1044,2.31853,0.001783,0.001783,0.001783
85,3670.41,1.45719,1.49806,1.53649,0.47634,0.47173,0.4948,0.25097,2.28721,2.05601,2.32023,0.001684,0.001684,0.001684
86,3704.35,1.47759,1.50732,1.54034,0.4375,0.50211,0.49318,0.25347,2.32713,2.03809,2.37146,0.001585,0.001585,0.001585
87,3738.36,1.43187,1.46381,1.52614,0.3574,0.54811,0.48558,0.24973,2.34819,2.09474,2.37437,0.001486,0.001486,0.001486
88,3772.61,1.40491,1.46996,1.51436,0.57786,0.32284,0.49527,0.24615,2.32815,2.18821,2.33141,0.001387,0.001387,0.001387
89,3806.56,1.44726,1.46813,1.51104,0.52497,0.33435,0.44393,0.21877,2.31582,2.2002,2.32572,0.001288,0.001288,0.001288
90,3840.55,1.39131,1.43576,1.48627,0.5228,0.34033,0.41081,0.2016,2.29438,2.18236,2.32259,0.001189,0.001189,0.001189
91,3873.24,1.43831,1.50949,1.57848,0.34834,0.42582,0.42489,0.20957,2.27526,2.10658,2.30264,0.00109,0.00109,0.00109
92,3902.18,1.36743,1.42751,1.51839,0.45249,0.49405,0.45801,0.24045,2.29123,2.17324,2.32078,0.000991,0.000991,0.000991
93,3930.21,1.37308,1.38268,1.50544,0.41349,0.44944,0.45276,0.23612,2.23574,2.21533,2.28331,0.000892,0.000892,0.000892
94,3958.34,1.36651,1.37312,1.49374,0.43178,0.447,0.45291,0.24386,2.21118,2.23447,2.26483,0.000793,0.000793,0.000793
95,4038.69,1.35118,1.36226,1.4978,0.41918,0.4301,0.46103,0.23673,2.20406,2.24602,2.25603,0.000694,0.000694,0.000694
96,4158.21,1.29723,1.32392,1.48359,0.46775,0.4066,0.4387,0.23506,2.25637,2.22104,2.30072,0.000595,0.000595,0.000595
97,4258.52,1.34175,1.3461,1.51572,0.47079,0.44612,0.44682,0.23681,2.28957,2.18622,2.33572,0.000496,0.000496,0.000496
98,4379.36,1.32666,1.31875,1.49772,0.48506,0.43762,0.45022,0.23427,2.3194,2.14758,2.36019,0.000397,0.000397,0.000397
99,4517.11,1.31414,1.29842,1.46729,0.52057,0.43387,0.4609,0.24127,2.34957,2.16258,2.3935,0.000298,0.000298,0.000298
100,4653.47,1.31243,1.28053,1.49572,0.54088,0.44363,0.45953,0.24449,2.35171,2.0963,2.39145,0.000199,0.000199,0.000199
